"kanji","hiragana","meaning"
"概論","がいろん","개론"
"応対","おうたい","응대"
"弱点","じゃくてん","약점"
"基本","きほん","기본"
"吊る","つる","(매)달다"
"血圧","けつあつ","혈압"
"騒がしい","さわがしい","소란스럽다"
"効力","こうりょく","효력"
"悲劇","ひげき","비극"
"車庫","しゃこ","차고"
"直後","ちょくご","직후"
"透き通る","すきとおる","비쳐보이다"
"出迎える","でむかえる","마중나가다"
"貸家","かしや","셋집"
"生存","せいぞん","생존"
"刷る","する","찍다 (인쇄물, 판화등)"
"分析","ぶんせき","분석"
"児童","じどう","아동"
"凹む","へこむ","움푹 파이다"
"娯楽","ごらく","오락 (오락시설 하나 없는 시골 할때)"
"基","もと","토대"
"操作","そうさ","조작"
"お代わり","おかわり","먹은걸 또 주문 함"
"公務","こうむ","공무"
"謙遜","けんそん","겸손"
"気圧","きあつ","기압"
"広さ","ひろさ","넓이"
"堪らない","たまらない","참을수 없다"
"月給","げっきゅう","월급"
"状況","じょうきょう","상황"
"尻","しり","엉덩이"
"辞任","じにん","사임 (자리에서 물러 나는것)"
"昼寝","ひるね","낮잠"
"浮ぶ","うかぶ","뜨다, 떠오르다"
"責める","せめる","나무라다"
"務める","つとめる","(임무를) 맡다"
"謙虚","けんきょ","겸허"
"信用","しんよう","신용"
"農産物","のうさんぶつ","농산물"
"水分","すいぶん","수분"
"家屋","かおく","가옥"
"心当たり","こころあたり","짐작가는 곳"
"正方形","せいほうけい","정사각형"
"回答","かいとう","회답, 응답"
"別々","べつべつ","따로따로"
"客席","きゃくせき","객석"
"民間","みんかん","민간"
"捻る","ひねる","비틀다, 틀다"
"名物","めいぶつ","명물"
"住宅","じゅうたく","주택"
"直径","ちょっけい","직경"
"無数","むすう","무수 (하다할때)"
"静まる","しずまる","가라앉다"
"貯蔵","ちょぞう","저장"
"口実","こうじつ","구실"
"苦心","くしん","고심 (고심해서 만들다 할때)"
"曲線","きょくせん","곡선"
"日陰","ひかげ","응달, 음지"
"２個所","にかしょ","2개소 (어떤 물건이 있는 장소)"
"実験","じっけん","실험"
"着々","ちゃくちゃく","착착"
"写生","しゃせい","사생 (미술에서 스케치)"
"尖る","とがる","예민해지다"
"目出度い","めでたい","경사스럽다"
"清書","せいしょ","정서"
"発射","はっしゃ","발사"
"櫛","くし","빗"
"必需品","ひつじゅひん","필수품"
"農家","のうか","농가"
"間も無く","まもなく","곧"
"大凡","おおよそ","대강, 대략"
"指す","さす","(어딘가) 가리키다"
"候補","こうほ","후보"
"過失","かしつ","과실 (잘못한거)"
"枕","まくら","베개"
"特殊","とくしゅ","특수"
"思い掛けない","おもいがけない","뜻밖의"
"中間","ちゅうかん","중간"
"引き分け","ひきわけ","무승부, 갈라놓음"
"千切る","ちぎる","잘게 찢다"
"隙間","すきま","겨를, 짬"
"隔てる","へだてる","멀리하다"
"相撲","すもう","스모 (일본식 씨름)"
"和服","わふく","일본옷"
"見舞う","みまう","문병, 문안하다"
"凋む","しぼむ","시들다"
"包装","ほうそう","포장"
"治療","ちりょう","치료"
"批判","ひはん","비판"
"夜行","やこう","야행"
"特徴","とくちょう","특징"
"羊毛","ようもう","양모 (양의 털)"
"鉄橋","てっきょう","철교"
"日の入り","ひのいり","일몰"
"破く","やぶく","찢다"
"坊さん","ぼうさん","스님"
"夜間","やかん","야간"
"全般的に","ぜんぱんてきに","전반적으로"
"超過","ちょうか","초과"
"接近","せっきん","접근"
"所謂","いわゆる","이른바"
"分布","ぶんぷ","분포"
"泳ぎ","およぎ","수영"
"刻む","きざむ","(잘게) 썰다"
"留まる","とまる","머물다"
"引っ張る","ひっぱる","끌다"
"退く","どく","물러나다, 비키다"
"日程","にってい","일정"
"意外","いがい","의외"
"分数","ぶんすう","분수 (수학에서)"
"蒸気","じょうき","증기"
"待ち合わせる","まちあわせる","만나기로 하다"
"侵入","しんにゅう","침입"
"眺める","ながめる","바라보다"
"末","すえ","마지막"
"文脈","ぶんみゃく","문맥"
"卓球","たっきゅう","탁구"
"北極","ほっきょく","북극"
"冷凍","れいとう","냉동"
"殴る","なぐる","때리다"
"我慢できない","がまんできない","못 참겠어"
"例題","れいだい","예제 (예로 나온 문제)"
"葬式","そうしき","장례식"
"予感","よかん","예감"
"金属","きんぞく","금속"
"改造","かいぞう","개조"
"大通り","おおどおり","큰 거리"
"開会","かいかい","개회"
"著書","ちょしょ","저서"
"強化","きょうか","강화"
"腰掛ける","こしかける","걸터앉다"
"属性","ぞくせい","속성"
"訪問","ほうもん","방문"
"年俸","ねんぽう","연봉"
"剃る","そる","면도하다"
"上京","じょうきょう","상경 (시골에서 도시로)"
"資本","しほん","자본"
"焦げる","こげる","타다 (고기가 타다 할때)"
"電池","でんち","전지"
"岸","きし","벼랑"
"快適","かいてき","쾌적"
"活躍","かつやく","활약"
"車輪","しゃりん","차륜, 바퀴"
"看病","かんびょう","간병"
"賞品","しょうひん","상품"
"抵抗","ていこう","저항"
"前進","ぜんしん","전진 (앞으로 나아감)"
"削る","けずる","깎다 (연필, 예산)"
"強力な","きょうりょくな","강력한"
"流行る","はやる","유행하다"
"塵","ごみ","쓰레기"
"顕微鏡","けんびきょう","현미경"
"食塩","しょくえん","식염"
"動作","どうさ","동작"
"明け方","あけがた","새벽녘"
"楕円","だえん","타원"
"命令","めいれい","명령"
"国籍","こくせき","국적"
"有利","ゆうり","유리 (불리의 반대말)"
"お菓子","おかし","과자"
"無地","むじ","무지 (무늬가 없다)"
"競馬","けいば","경마"
"緯度","いど","위도 (지리)"
"成立","せいりつ","성립"
"不潔","ふけつ","불결"
"程度","ていど","정도 (어느정도 할때)"
"障害","しょうがい","장해, 장애"
"延びる","のびる","길어지다, 연기되다"
"送別会","そうべつかい","송별회"
"斜","はす","경사"
"逆様","さかさま","거꾸로됨"
"現場","げんば","현장"
"甘やかす","あまやかす","응석받아주다"
"要望","ようぼう","요망"
"頃","ころ","때 (어릴때 할때)"
"素直","すなお","고분고분함"
"塞ぐ","ふさぐ","막다, 틀어막다"
"裏返す","うらがえす","뒤집다, 뒤바꾸다"
"文芸","ぶんげい","문예"
"吊るす","つるす","달아매다, 매달다"
"伝統","でんとう","전통"
"小遣い","こづかい","용돈"
"頷く","うなずく","수긍하다"
"停電","ていでん","정전"
"果して","はたして","과연 (생각했던대로)"
"途端","とたん","(~한) 순간"
"吹雪","ふぶき","눈보라"
"慰める","なぐさめる","위로하다"
"消毒","しょうどく","소독"
"信ずる","しんずる","믿다"
"共産","きょうさん","공산 (재산의 공동소유)"
"構わない","かまわない","상관없어"
"有効","ゆうこう","유효"
"自治","じち","자치 (지방자치 단체할때)"
"掻く","かく","긁다"
"鑑賞","かんしょう","감상"
"専制","せんせい","전제"
"整備","せいび","정비"
"商店","しょうてん","상점"
"状態","じょうたい","상태"
"突き当たり","つきあたり","부딪치다"
"皺","しわ","주름"
"引っ掛かる","ひっかかる","걸리다 (풍선이 전선에, 검문에 등)"
"原稿","げんこう","원고 (레포트)"
"可決","かけつ","가결"
"妥当","だとう","타당"
"同僚","どうりょう","동료"
"標識","ひょうしき","표지판"
"財産","ざいさん","재산"
"代る","かわる","대신하다"
"忽ち","たちまち","홀연, 갑자기"
"中旬","ちゅうじゅん","중순"
"構成","こうせい","구성"
"歯車","はぐるま","톱니바퀴"
"煮える","にえる","익다"
"制作","せいさく","제작"
"夕刊","ゆうかん","석간 (저녁신문 줄임말)"
"撒く","まく","뿌리다"
"扇子","せんす","부채 (여름에쓰는)"
"引き止める","ひきとめる","만류하다, 말리다"
"探ぐる","さぐる","뒤지다, 찾다"
"消防署","しょうぼうしょ","소방서"
"屋外","おくがい","옥외"
"感想","かんそう","감상"
"負担","ふたん","부담"
"湿気","しっき, しっけ","습기"
"日用品","にちようひん","일용품"
"童話","どうわ","(어린이) 동화"
"乗車","じょうしゃ","승차"
"続き","つづき","연결"
"蛍光灯","けいこうとう","형광등"
"帰す","かえす","돌려보내다"
"認める","みとめる","인정하다"
"座布団","ざぶとん","방석"
"客間","きゃくま","응접실"
"点数","てんすう","점수"
"空想","くうそう","공상"
"丸で","まるで","마치"
"吸収","きゅうしゅう","흡수"
"炒る","いる","볶다"
"広める","ひろめる","넓히다"
"損得","そんとく","득실 (이득과 손실)"
"伝染","でんせん","전염"
"擦る","こする","문지르다"
"一定","いってい","일정 (일정한)"
"中性","ちゅうせい","중성"
"落着く","おちつく","안정되다"
"遭う","あう","(어떤 일을) 당하다"
"適する","てきする","적당하다"
"掏摸","すり","소매치기"
"液体","えきたい","액체"
"一流","いちりゅう","일류"
"失恋","しつれん","실연"
"鈍い","にぶい, のろい","둔하다"
"お手伝いさん","おてつだいさん","가사도우미"
"自衛隊","じえいたい","자위대 (일본 군대)"
"造る","つくる","만들다"
"推定","すいてい","추정"
"原油","げんゆ","원유 (기름)"
"大して","たいして","그다지, 별로"
"骨折","こっせつ","골절"
"緊張","きんちょう","긴장"
"性別","せいべつ","성별"
"どうせ","どうせ","어차피"
"未満","みまん","미만"
"断水","だんすい","단수 (물끊기는거)"
"豊富","ほうふ","풍부"
"是非","ぜひ","꼭"
"出会す","でくわす","맞닥뜨리다"
"有無","うむ","유무"
"集金","しゅうきん","수금"
"平凡","へいぼん","평범하다"
"留意","りゅうい","유의 (유의할 점 할때, 주의랑 비슷)"
"匂う","におう","풍기다"
"大げさ","おおげさ","과장 (부풀리는 것)"
"扇風機","せんぷうき","선풍기"
"順々","じゅんじゅん","차례차례"
"儀式","ぎしき","의식 (을 치루다할때)"
"先々月","せんせんげつ","전전달"
"符号","ふごう","부호 (부호가 플러스로 되있네 할때)"
"通路","つうろ","통로"
"警備","けいび","경비 (아저씨할때 경비)"
"繋がり","つながり","연결"
"取り入れる","とりいれる","거두어들이다"
"集合","しゅうごう","집합"
"行方不明","ゆくえふめい","행방불명"
"照る","てる","비치다 (데리야끼 소스의 데리가 이것)"
"実例","じつれい","실례"
"地下水","ちかすい","지하수"
"巫山戯る","ふざける","까불다"
"公害","こうがい","공해"
"独り言","ひとりごと","혼잣말"
"人事","じんじ","인사 (인사팀 신입사원 할때)"
"目次","もくじ","목차"
"閉会","へいかい","폐회"
"歌謡","かよう","가요 (대중가요할때)"
"損害","そんがい","손해"
"象徴","しょうちょう","상징"
"発つ","たつ","출발하다, 떠나다"
"辺り","あたり","근처"
"早速","さっそく","즉시"
"爽やかな","さわやかな","시원한"
"下線","かせん","밑줄"
"用語","ようご","용어"
"苦痛","くつう","고통"
"公共","こうきょう","공공"
"幾分","いくぶん","일부분"
"湯飲み","ゆのみ","찻잔"
"捕らえる","とらえる","붙잡다"
"雑談","ざつだん","잡담"
"平日","へいじつ","평일"
"体操","たいそう","체조"
"混ぜる","まぜる","섞다, 혼합하다"
"作成","さくせい","작성"
"餌","えさ","모이, 미끼"
"国境","こっきょう","국경"
"格別","かくべつ","각별"
"初級","しょきゅう","초급"
"倉庫","そうこ","창고"
"先程","さきほど","아까, 조금 전"
"呑気","のんき","성격이 느긋한 모양"
"一段と","いちだんと","한층, 더욱"
"長期間","ちょうきかん","장기간"
"揶揄う","からかう","조롱하다"
"次ぐ","つぐ","뒤를 잇다"
"診る","みる","진찰하다"
"溶岩","ようがん","용암"
"傾く","かたむく","기울다"
"煙突","えんとつ","굴뚝"
"診断","しんだん","진단"
"綱","つな","밧줄"
"溜息","ためいき","한숨"
"助教授","じょきょうじゅ","조교수"
"切めて","せめて","하다못해"
"小麦","こむぎ","밀 (먹는 밀)"
"心得る","こころえる","파악하다, 이해하다"
"教養","きょうよう","교양 (교양 수업할때)"
"勝敗","しょうはい","승패"
"台詞","せいふ","대사 (영화 드라마 등의)"
"卸す","おろす","도매하다"
"知人","ちじん","지인 (아는사람)"
"交替","こうたい","교체"
"集中","しゅうちゅう","집중"
"永い","ながい","영원히"
"過半数","かはんすう","과반수"
"冒険","ぼうけん","모험"
"公衆","こうしゅう","공중 (전화, 도덕)"
"崩す","くずす","무너뜨리다"
"洒落","しゃれ","익살"
"近代","きんだい","근대 (근대 사회 할때)"
"あだ名","あだな","별명"
"球","きゅう","구 (둥근거)"
"糊","のり","풀 (붙일때쓰는)"
"延長","えんちょう","연장"
"遣っ付ける","やっつける","해치우다"
"知恵","ちえ","지혜"
"万が一","まんがいち","만에하나 (만일)"
"落し物","おとしもの","분실물"
"焚く","たく","(불을) 때다, 피우다"
"商業","しょうぎょう","상업"
"借金","しゃっきん","빚 (꾼돈)"
"牧畜","ぼくちく","목축"
"国王","こくおう","국왕"
"冷ます","さます","식히다"
"機関車","きかんしゃ","기관차"
"見付ける","みつける","찾다"
"見掛け","みかけ","외관, 겉보기"
"体積","たいせき","부피"
"出来上がる","できあがる","완성되다"
"溶ける","とける","녹다"
"用紙","ようし","용지 (a4용지할때)"
"組長","くみちょう","조장 (조직의 장 : 주로 어두운 세계에서 쓰임.)"
"吐き気","はきけ","구역질"
"銃","じゅう","총"
"石鹸","せっけん","비누"
"膝","ひざ","무릎"
"考慮","こうりょ","고려 (상황을 고려하다 할때)"
"お手洗い","おてあらい","화장실, 손씻는곳"
"見慣れる","みなれる","낯익었다"
"占う","うらなう","점치다"
"確率","かくりつ","확률"
"消去","しょうきょ","소거 (지워없애는것)"
"助手","じょしゅ","조수"
"日の出","ひので","일출"
"寝巻き","ねまき","잠옷"
"太陽","たいよう","태양"
"線路","せんろ","선로"
"矛盾","むじゅん","모순"
"貝","かい","조개"
"照らす","てらす","비추다"
"水筒","すいとう","수통, 물통"
"性質","せいしつ","성질"
"塞がる","ふさがる","막히다, 메다"
"目下の人","めしたのひと","손아랫사람"
"標本","ひょうほん","표본"
"実力","じつりょく","실력"
"姿勢","しせい","자세, 태도"
"等しい","ひとしい","동등하다"
"回数","かいすう","회수"
"子孫","しそん","자손"
"連合","れんごう","연합"
"洗面","せんめん","세수 (얼굴닦기)"
"渋滞","じゅうたい","정체 (고속도로 정체 할때)"
"気配","けはい","기미, 낌새"
"耕地","こうち","경지"
"規格","きかく","규격"
"敷地","しきち","부지, 대지"
"基礎","きそ","기초"
"貨物","かもつ","화물"
"豊かな","ゆたかな","풍족한"
"目安","めやす","기준"
"捜査","そうさ","수사"
"覗く","のぞく","엿보다"
"討つ","うつ","(원수를) 갚다"
"長短","ちょうたん","장단"
"通訳","つうやく","통역"
"録音","ろくおん","녹음"
"死体","したい","시체"
"塊","かたまり","덩어리, 뭉치"
"統一","とういつ","통일"
"自習","じしゅう","자습"
"背負う","せおう","짊어지다"
"灯台","とうだい","등대"
"不思議な","ふしぎな","이상한"
"訴える","うったえる","소송하다"
"敷く","しく","(바닥에) 깔다"
"便所","べんじょ","변소 (화장실)"
"待合室","まちあいしつ","대합실"
"方針","ほうしん","방침"
"及ぼす","およぼす","미치다 (영향등을)"
"光線","こうせん","광선"
"乱暴","らんぼう","난폭"
"鉄","てつ","쇠"
"活力","かつりょく","활력"
"固まり","かたまり","덩어리"
"酔っ払い","よっぱらい","술주정꾼"
"差し支え","さしつかえ","지장, 차질"
"年齢","ねんれい","연령"
"花嫁","はなよめ","신부"
"中立","ちゅうりつ","중립"
"散らかす","ちらかす","어지르다"
"語る","かたる","말하다"
"大気","たいき","대기 (하늘)"
"破れる","やぶれる","깨지다"
"押さえる","おさえる","억누르다"
"三日月","みかづき","초승달"
"赤字","あかじ","적자 (경영상태가 안 좋은 것)"
"官庁","かんちょう","관청"
"月末","げつまつ","월말"
"理科","りか","이과 (문과말고)"
"執筆","しっぴつ","집필"
"上下","じょうげ","상하"
"解釈","かいしゃく","해석"
"批評","ひひょう","비평"
"物差し","ものさし","잣대"
"水平","すいへい","수평"
"易い","やすい","간단하다"
"通貨","つうか","통화 (돈)"
"停止","ていし","정지"
"即ち","すなわち","즉"
"稀","まれ","드묾"
"干す","ほす","말리다"
"見本","みほん","견본"
"存在","そんざい","존재"
"空中","くうちゅう","공중"
"咥える","くわえる","물다"
"表紙","ひょうし","표지 (레포트 표지할때, 표지판이랑은 다름!)"
"前後","ぜんご","전후"
"湿度","しつど","습도"
"潜る","もぐる","잠수하다"
"毛皮","けがわ","모피, 털가죽"
"長方形","ちょうほうけい","직사각형"
"入れ物","いれもの","용기, 그릇"
"臨時","りんじ","임시"
"井戸","いど","우물"
"各々","おのおの","각각"
"繋がる","つながる","연결되다"
"溶け込む","とけこむ","용해되다"
"卑怯","ひきょう","비겁"
"酢","す","식초"
"長女","ちょうじょ","장녀 (첫째큰딸)"
"高速道路","こうそくどうろ","고속도로"
"方言","ほうげん","방언, 사투리"
"不規則","ふきそく","불규칙"
"濁る","にごる","흐려지다"
"随筆","ずいひつ","수필"
"挿す","さす","꽂다"
"原産地","げんさんち","원산지"
"過去","かこ","과거"
"本来","ほんらい","본래"
"悔やむ","くやむ","애석하게 여기다"
"農薬","のうやく","농약"
"委員","いいん","위원"
"割と","わりと","비교적"
"御目出度う","おめでとう","축하해"
"納める","おさめる","납입하다"
"書道","しょどう","서예"
"素質","そしつ","소질"
"共に","ともに","함께"
"鋸","のこぎり","톱"
"支給","しきゅう","지급"
"古里","ふるさと","고향"
"最終","さいしゅう","최종"
"四角","しかく","사각"
"不通","ふつう","불통"
"散る","ちる","꽃잎이지다"
"意地悪","いじわる","심술궂음"
"中年","ちゅうねん","중년"
"気の毒","きのどく","딱함, 가엾음"
"莫大な","ばくだいな","막대한"
"言付ける","ことづける","전달을 부탁하다"
"固まる","かたまる","굳다"
"向かう","むかう","향하다"
"蒸し暑い","むしあつい","무더운"
"意思表現","いしひょうげん","의사표현"
"月日","つきひ","월일, 날짜, 세월"
"著す","あらわす","저술하다"
"激増","げきぞう","격증"
"注す","さす","따르다, 붓다"
"開通","かいつう","개통"
"適切","てきせつ","적절"
"森林","しんりん","삼림"
"但し","ただし","단, 다만"
"学級","がっきゅう","학급"
"鍋","なべ","냄비"
"見付かる","みつかる","발견되다"
"恐怖","きょうふ","공포"
"納得","なっとく","납득"
"平らな","たいらな","평평한"
"失望","しつぼう","실망"
"制限","せいげん","제한"
"茂る","しげる","우거지다"
"ずれる","ずれる","어긋나다"
"集団","しゅうだん","집단"
"話合い","はなしあい","의논"
"県庁","けんちょう","현청"
"名詞","めいし","명사"
"蓋","ふた","뚜껑, 덮개"
"消耗","しょうもう","소모"
"応じる","おうじる","응하다"
"余る","あまる","남다"
"熱帯夜","ねったいや","열대야"
"要素","ようそ","요소"
"特長","とくちょう","특징 (직:특장)"
"点く","つく","점화되다"
"混じる","まじる","섞이다"
"景気","けいき","경기 (경제상태)"
"穴","あな","구멍"
"先々週","せんせんしゅう","전전주"
"尊重","そんちょう","존중"
"役人","やくにん","관리"
"収める","おさめる","거두다"
"彫刻","ちょうこく","조각"
"爆発","ばくはつ","폭발"
"試す","ためす","시험하다"
"逆らう","さからう","거스르다"
"砕ける","くだける","부서지다, 깨지다"
"関東","かんとう","관동 (일본의 동쪽)"
"任意","にんい","임의 (임의로 정하다 할때)"
"放る","ほうる","던지다"
"折角","せっかく","모처럼"
"教わる","おそわる","가르침을 받다"
"相違","そうい","다름, 틀림"
"近付ける","ちかづける","가까이하다"
"編集","へんしゅう","편집"
"吃逆","しゃっくり","딸꾹질"
"目上","めうえ","윗사람"
"棒","ぼう","막대기"
"対策","たいさく","대책"
"墓","はか","무덤"
"取り敢えず","とりあえず","일단은"
"宴会","えんかい","연회"
"狙う","ねらう","노리다, 겨누다"
"長男","ちょうなん","장남"
"狡い","ずるい","교활하다"
"停車","ていしゃ","정차"
"国立","こくりつ","국립"
"昇る","のぼる","오르다"
"都会","とかい","도시"
"二等分","にとうぶん","2등분 (3등분은?)"
"恨み","うらみ","원한"
"瞳","ひとみ","눈동자"
"手の平","てのひら","손바닥"
"麻痺","まひ","마비"
"支配","しはい","지배"
"文献","ぶんけん","문헌"
"合計","ごうけい","합계"
"申告","しんこく","신고 (알림)"
"袋","ふくろ","봉다리, 자루"
"退ける","どける","치우다, 비키다"
"特売","とくばい","특매"
"散らかる","ちらかる","어지러지다"
"醜い","みにくい","추한"
"兎に角","とにかく","어쨌든간에"
"憎い","にくい","밉다"
"望遠鏡","ぼうえんきょう","망원경"
"危うい","あやうい","위태롭다"
"申請","しんせい","신청"
"無事に","ぶじに","무사히"
"銀行","ぎんこう","은행"
"年月","としつき","연월"
"望む","のぞむ","바라다, 소망하다"
"情報","じょうほう","정보"
"改札口","かいさつぐち","개찰구 (지하철 표내고 나가는곳)"
"尽きる","つきる","(목숨등이) 다하다 "
"目指す","めざす","목표하다"
"友好","ゆうこう","우호"
"在庫","ざいこ","재고"
"審判","しんぱん","심판"
"犯罪","はんざい","범죄"
"広げる","ひろげる","넓히다"
"煉瓦","れんが","벽돌"
"囁く","ささやく","속삭이다"
"艶","つや","광택"
"揃う","そろう","갖추어지다"
"谷","たに","골짜기"
"投書","とうしょ","투서 (신문에 투서하다 할때)"
"芝居","しばい","연기, 연극"
"貢献","こうけん","공헌"
"困難","こんなん","곤란"
"発電","はつでん","발전"
"学部","がくぶ","학부"
"締切","しめきり","마감"
"後輩","こうはい","후배"
"船便","ふなびん","배편 (배로 보냄)"
"附属","ふぞく","부속"
"高等","こうとう","고등"
"高める","たかめる","높인다"
"憲法","けんぽう","헌법"
"惜しい","おしい","아깝다"
"講師","こうし","강사"
"非常口","ひじょうぐち","비상구"
"訳する","やくする","번역하다"
"謎々","なぞなぞ","수수께끼"
"鈴","すず","방울"
"愛情","あいじょう","애정"
"複数","ふくすう","복수 (복수지원 할때)"
"形容詞","けいようし","형용사"
"超す","こす","넘다, 초과되다"
"下駄","げた","나막신"
"着ける","つける","(탈것을) 대다, (옷, 목걸이등) 걸치다"
"講演","こうえん","강연"
"無沙汰","ぶさた","무소식"
"原料","げんりょう","원료"
"仕上がる","しあがる","마무리되다"
"心身","しんしん","심신"
"単数","たんすう","단수, 홑수"
"罪","つみ","죄"
"水産","すいさん","수산"
"派手な","はでな","화려한"
"値引き","ねびき","값을 깎음"
"徹底的に","てっていてきに","철저하게 (직:철저적으로)"
"逃がす","にがす","놓치다"
"蚊","か","모기"
"貸し出し","かしだし","대출"
"地名","ちめい","지명 (지역명)"
"地帯","ちたい","지대"
"純粋","じゅんすい","순수"
"紅葉","もみじ","단풍"
"偉い","えらい","훌륭하다"
"妨げる","さまたげる","방해하다"
"粗い","あらい","꺼칠꺼칠하다"
"反応","はんのう","반응"
"定期券","ていきけん","정기권"
"地質","ちしつ","지질"
"火口","かこう","화구"
"巨大な","きょだいな","거대한"
"連れ","つれ","일행 (일행 계세요? 할때)"
"臍","へそ","배꼽"
"独特","どくとく","독특"
"酒場","さかば","술집, 바"
"威張る","いばる","뽐내다, 으스대다"
"図鑑","ずかん","도감"
"有難う","ありがとう","고맙다"
"従って","したがって","따라서"
"打ち消す","うちけす","부정하다"
"下車","げしゃ","하차"
"攻める","せめる","공격하다"
"正門","せいもん","정문"
"時速","じそく","시속"
"定員","ていいん","정원"
"義務","ぎむ","의무"
"風船","ふうせん","풍선"
"有料","ゆうりょう","유료"
"心臓","しんぞう","심장"
"初旬","しょじゅん","초순"
"売れ行き","うれゆき","팔림새 (팔리는 현황)"
"一層","いっそう","한층더"
"要旨","ようし","요지"
"性能","せいのう","성능"
"羨む","うらやむ","부러워하다"
"順序","じゅんじょ","순서"
"通勤","つうきん","통근"
"奇妙な","きみょうな","기묘한"
"勝手に","かってに","멋대로"
"主語","しゅご","주어"
"手拭い","てぬぐい","수건"
"要領","ようりょう","요령"
"尻尾","しっぽ","꼬리"
"物騒","ぶっそう","뒤숭숭하다"
"全集","ぜんしゅう","전집 (한국문학 전집할때)"
"学科","がっか","학과"
"当日","とうじつ","당일"
"欧米","おうべい","유럽과 미국"
"日課","にっか","일과"
"半島","はんとう","반도"
"粒","つぶ","알갱이"
"始終","しじゅう","시종 (시종일관할때)"
"地味","じみ","수수함"
"文房具","ぶんぼうぐ","문방구"
"援助","えんじょ","원조 (도움)"
"広場","ひろば","광장"
"余分","よぶん","여분"
"裁判","さいばん","재판"
